severe,sévère
antidepressive,antidépressive
sècheresse,sécheresse
90mg,90 mg
epoursuivre,poursuivre
typhoide,typhoïde
cindelle87,cindelle87
protegee,protégée
bi,ni
exempls,exemple
régulieres,réguliers
phosophoricum,phosophoricum
pourquo,pourquoi
 vais,vais
échinacée,échinée
antivomitif,anti vomitif
high,high
canabis,cannabis
tres,très
clavunique,clanique
cga,conga
dù,du
2mois,2mois
reve,rêve
efferalgans,efferalgans
insommie,insomnie
demange,démange
ethynilestradiol,ethynilestradiol
5sa,5sa
js,us
saignemen,saignement
exams,examens
ac,av
réguliérement,régulièrement
24kgs,24kgs
avoire,ovaire
jesminelle,jesminelle
flucon,flacon
cheuveux,cheveux
inquièter,inquiéter
9h30,9h30
montgomery,montgomery
topic,topic
erazette,mazette
16sa,16sa
ribomunyl,ribomunyl
vidal,viral
déshinibe,désinhibe
echinacea,echinacea
poukoi,pourvoi
gygy,gym
propécia,progéria
benefique,bénéfique
750mg,750 mg
zélitrex,zélitrex
antitranspirant,anti transpirant
vomica,vomira
cyclen,cycle
silicea,silice
neocitron,neocitron
celeste,céleste
pedt,pet
eliminer,éliminer
ç,c
ceresta,ce resta
entihepiliptique,entihepiliptique
temp,tempe
hemoglobine,hémoglobine
arrètent,arrêtent
ménaelle,ménaelle
sertalia,sertalia
nterrations,nterrations
elma,Selma
roacutane,roacutane
pfizer,pfizer
esque,asque
temestat,temestat
parrait,parait
curacnée,curacnée
desagrable,desagrable
jattends,j’attends
pneumo,pneumo
omnipaque,omnipaque
infanrix,infanrix
rotateq,rotateur
mileu,mile
ténormine,ténor mine
appro,apéro
droles,drôles
2009 à 00,2009 à 00
echappe,échappe
augumenter,augmenter
he,hé
20ans,20 ans
mycolog,mycologie
lévothyrox,Lévothyrox
myorelaxant,myorelaxant
idee,idée
apres,après
j15,j15
6h,6 h
g20,g20
2sd,2sd
seche,séché
homeopatique,homéopathique
bryonia,bryone
miréna,miré na
apaisyl,apaisyl
gross,gros
supeudol,supeudol
médicamment,médicament
découpables,dé coupables
insuportables,insupportables
fenugreec,fenugrec
noctifs,nocifs
xylo,xylol
allemagne,Allemagne
evotirox,evotirox
15jours,15 jours
homopathie,homéopathie
rehydrater,réhydrater
ventr,vente
igniaca,igniaca
qq,q
7j,7 j
cafeine,caféine
ddes,des
retard…,retard
medecine,médecine
week,geek
vaccinnation,vaccination
mona,Mona
supositoires,suppositoires
lexomyl,lexomyl
p450,p450
prisle,prisme
depart,départ
arretent,arrêtent
homéopahie,homéopathie
acneique,acnéique
purinéthol,purinéthol
bpco,bosco
staphylococcinum,staphylococcique
anciene,ancienne
epilleptique,épileptique
allaittement,allaitement
dde,de
jaminelle,jaminelle
feldène,Feldane
fc,cf
vzv,v
ya,IA
etat,état
anxyolisant,anabolisant
rescue,ressue
3couleurs,3couleurs
pressicé,pressier
appart,apparat
betabloquant,bêtabloquant
augementation,augmentation
hpv,hpv
uterine,utérine
quincke,quincke
monothérapie,mono thérapie
decision,décision
exès,excès
tolerable,tolérable
palquette,plaquette
qelle,selle
lixanxia,lixanxia
célexa,télexa
9ans,9 ans
plquette,plaquette
nourissons,nourrissons
eczema,eczéma
règgles,règles
defalgan,defalgan
enchainé,enchaîne
voi,coi
quesaco,quesaco
baralgin,baralgin
14ans,14 ans
qulequ,qulequ
perimé,périme
chlormadione,chlormadione
hematocriste,hématocrite
quinta,quanti
célestene,céleste ne
cardenciel,carentiel
durogésic,durogésic
môi,moi
coute,coûte
urgo,urge
laurana,laurana
suggerée,suggérée
codion,codon
experiences,expériences
mélodia,mélodie
21h38,21h38
pouruqoi,pourquoi
mnidril,mnidril
seoplex,seoplex
brunatres,brunâtres
ocntre,contre
3semaines,3semaines
témestat,témestat
effecor,effecor
dépakine,dépakine
arkogellules,arkogellules
pére,paire
mecanisme,mécanisme
5gr,5gr
declenche,déclenche
tate,tâte
anxiolytiquess,anxiolytiques
19h30,19h30
we,se
abime,abîme
cets,cet
praluent,pralinent
sporténine,spartéine
jarrive,j’arrive
multiload,multilobé
ergy,Cergy
uqe,que
amycor,amycor
reaugmentation,augmentation
prennant,prenant
repete,repete
cocqueluche,coqueluche
j22,j22
blue,bleu
•,e
5htp,5htp
maschus,mas chus
protegée,protégée
micropakine,micropakine
cafeiné,caféine
jlis,lis
2006 à 17,2006 à 17
2ibuprofen,2ibuprofen
diprosone,diprosone
11ans,11 ans
oedème,œdème
pàs,pas
scrupulesement,scrupuleusement
nveau,avenu
sedatif,sédatif
trimgel,trimgel
protélos,protélos
marront,marron
celà,cela
caféïne,caféine
pourwquoi,pourquoi
recemment,récemment
entrainant,entraînant
gallicum,gallium
lontemp,longtemps
codéiné,codéine
enchainée,enchaînée
acetate,acétate
alium,kalium
urobacide,urobacide
nefaste,néfaste
est¨ce,est¨ce
48kg,48 kg
14h00,14h00
genant,gênant
betebloquant,betebloquant
duree,durée
hctz,hctz
azithromycin,azithromycin
14j,14 j
deprime,déprime
55mg,55 mg
kgs,kss
 des,des
acéllulaire,acellulaire
depression,dépression
derniere,dernière
depakot,depakot
ceterizine,ceterizine
dafalgans,dafalgans
avisee,avisée
babyspasmyl,babyspasmyl
lequels,lequel
séropam,séropam
oxycontin,oxycontin
dangeureux,dangereux
6ème,6 ème
ét,ait
monazole,monazole
irregulier,irrégulier
arette,ariette
tertian,ter tian
conprimé,comprimé
jsuis,suis
surotut,surtout
vicodin,vicodin
dûs,dus
gentamycine,gentamicine
lee,Lee
émétophobie,émétophobie
sartan,sarta
pottier,potier
nocerton,noceront
homéo,homo
tjs,tus
amoxicillin,amoxicillin
8sa,8sa
c438,c438
biere,bière
bb3,bb3
samia,Samia
occidetalis,occidetalis
cepa,cape
hero,héro
davoir,d’avoir
b10,b10
regulier,régulier
amara,amarra
nigrum,nigrum
lithoderm,lithoderm
ipeca,ipéca
krka,krak
resemble,ressemble
homéopathiqus,homéopathique
hémorroidaire,hémorroïdaire
codéïne,codéine
mst,mst
simplemant,simplement
cefpodoxine,cefpodoxine
belgique,Belgique
dangé,rangé
appellé,appelé
exsiste,existe
étan,Etan
aujordhui,aujourd’hui
v1,v1
2mg,2 mg
……mon,……mon
antécédants,antécédents
abilifly,abilifly
luteny,lutent
 a,a
occassionnellement,occasionnellement
lutéinum,lutéine
800mg,800 mg
poss,poes
mépronizine,mépronizine
depose,dépose
imalgene,imalgene
sulfur,sulfure
magneb6,magneb6
12h30,12h30
plakete,plate
perdrent,perdent
surconsomatrice,surconsomatrice
fortimel,formel
anxiolitique,anxiolytique
codeinés,codéines
extranase,extravase
mienesse,mien esse
exeptionnels,exceptionnels
aps,pas
mecque,Mecque
10ème,10 ème
enchainent,enchaînent
prosac,pro sac
7kg,7 kg
coaaprovel,coaaprovel
gynelle375,gynelle375
cdi,cdi
lovenox,lovenox
16h30,16h30
lysenxia,lysenxia
medicamenteuse,médicamenteuse
milleperthuis,millepertuis
calcibronate,calcibronate
priopix,priopix
voulasi,voulais
daly,Dali
clearblue,clearblue
bnp,bip
150ml,150ml
respectee,respectée
lovamine,lova mine
tite,Tite
orchiépididymite,orchi-épididymite
jui,juin
lapres,lapes
quelquepart,quelque part
malgres,maigres
dorso,corso
fievre,fièvre
topamax,topa max
22juillet,22juillet
16e,16e
taenia,tænia
zonbie,zombie
80mg,80 mg
aprèsc,après
5h,5 h
81mg,81 mg
adépal,adépal
hashimoto,hashimoto
tilia,tilta
deg,reg
ethinilestradiol,ethinilestradiol
tendence,tendance
reaparue,reparue
lexotanil,lexotanil
 aujourd, aujourd
cèsse,caisse
energetique,énergétique
qqs,coqs
acai,axai
amoclane,amoclane
tégrétol,tégrétol
cartéol,cartéol
2009 à 12,2009 à 12
nausee,nausée
pouvaot,pouvait
considere,considéré
dsl,dol
prevenu,prévenu
receptif,réceptif
yasminelle,yasminelle
maxilase,maxilase
reponses,réponses
voltarène,voltarène
cycleane,cyclane
créme,crémé
xéplion,xéplion
niece,nièce
juske,jusque
joubli,oubli
jasminielle,jasminielle
déshinnibiteur,désinhibiteur
orbénine,orbénine
losqu,lorsque
séroplex,séroplex
bétaserc,bétaserc
copinette,clopinettes
recapture,capture
ame,âme
3ans,3 ans
silecea,silence
apprete,apprête
médol,médoc
involonterement,involontairement
oligostim,oligostim
lers,l’ers
pms,pts
shéma,schéma
4jrs,4 jrs
dantalgique,d’antalgique
agrave,agrafe
éthinylestradiol,éthinylestradiol
primpera,primera
compeed,compeed
medicale,médicale
cer,ver
surinfecté,sur infecté
ve,vé
caseine,caséine
paregorique,parégorique
seroxat,seroxat
grisea,grisez
quequ,queue
alvocardyl,alvocardyl
abscence,absence
vax,fax
suportable,supportable
3à4,3à4
ovarinum,ovarinum
1jour,1 jour
avocardil,avocardil
désorelle20,désorelle20
desesperement,desesperement
d2,d2
appeller,appeler
méme,mémé
rapporche,rapproche
protége,protégé
monovax,monovax
methadone,méthadone
guerire,guerre
gyn,gin
 peut,peut
ignatia,ignatia
rr,r
decongestionen,decongestionen
arkopharma,arkopharma
entrainé,entraîne
posotif,positif
appele,appelle
pendant7,pendant7
yasmin,jasmin
250mg,250 mg
silice30,silice30
lyxansia,lyxansia
lorezepam,lorezepam
posotion,position
aprem,aprem
betise,bêtise
medcin,médecin
locabiotal,locabiotal
orgastoro,orgastoro
diffèrence,différence
cepodoxime,cepodoxime
émimination,élimination
antecedent,antécédent
entraine,entraîne
clozan,clozan
ordonnace,ordonnasse
boufées,bouffées
°elfa°,°elfa°
pilositée,pilosités
pdant,pédant
2ans,2 ans
consequences,conséquences
serum,sérum
appaiser,apaiser
apercu,aperçu
dpa,spa
utiliiser,utiliser
stoptout,stop tout
aujourd,aujourd
renutryl,renutryl
théralithe,théralite
rivotryl,rivotryl
egalement,également
reponse,réponse
vaginose,vagin ose
actea,actez
differente,différente
sanofi,Sanofi
casi,quasi
help,hep
biceptine,biceptine
avene,avens
tetra,tétra
grossese,grossesse
reaction,réaction
phlebite,phlébite
g5,g5
jusq,jus
reds,rends
ordonannce,ordonnance
blulure,blulure
microdosée,micro dosée
pivalone,pivalone
tétrazépam,tétrazépam
antalvic,antalgie
millpertuis,millepertuis
cervarix,cervarix
2009 à 19,2009 à 19
hyterectomie,hystérectomie
amm,ami
doud,d’oud
relvar,relvar
defenses,défenses
utricaire,urticaire
25mg,25 mg
prescire,prescrire
spasmo,spasme
jaurais,j’aurais
magnogène,monogène
apo,api
suportait,supportait
depresseurs,dépresseurs
22h,22 h
dyharée,méharée
xl,x
malgrés,malgré
pillule,pilule
voudré,voudrai
harpagopytum,harpagopytum
mercillon,merdaillon
comen,comment
gelsenium,gelsenium
stromtium,strontium
cicaplast,cicaplast
ginkor,gink or
tanxene,tanne
deprimais,déprimais
40g,40 g
18mg,18 mg
dégénéresence,dégénérescence
arretées,arrêtées
lananas,l’ananas
23eme,23 eme
secu,suce
codeïne,codéine
relaxis,relais
d30,d30
vaccinotixinum,vaccinotixinum
hypéricum,hypéricum
redi,ride
comandé,commandé
dream,drame
ratiopharm,radiophare
intestinuax,intestinaux
3éme,3 éme
succés,sucés
2cachet,2cachet
dorticoïde,corticoïde
prenre,prendre
ravensare,ravensare
abondnantes,abondantes
10cm,10 cm
gardnerella,gardnerella
trophigill,trophigill
 la,la
bélara,Abélard
influance,influence
ototoxique,cytotoxique
pediatrique,podiatrique
precrit,prescrit
lon,l’on
12°c,12°c
ke,que
atropinum,atropinum
delles,d’elles
rhumato,rhumato
lactibiane,lactibiane
problémes,problèmes
alkylglycerol,alkylglycerol
olea,doleau
estréva,estréva
léponex,léponex
detre,dette
notran,natron
supositoire,suppositoire
23h45,23h45
gronchon,ronchon
alli,Ally
parkinson,Parkinson
antipalludéen,antipaludéen
dr,Dr
enchainais,enchaînais
vernulia,vernalisa
sparmes,spermes
douloureuze,douloureuse
provannes,pro vannes
reactions,réactions
seropam,seropam
prode,drope
règlees,réglées
resumer,résumer
lysensia,lysensia
tention,tentions
secable,sécable
aigue,aiguë
dtpolio,polio
bisoux,bisous
11h30,11h30
rebelotte,rebelote
j12,j12
ppelle,pelle
célestène,Célestine
vogalène,galène
raynaud,raynaud
gerdazil,gerdazil
tranquil,tranquille
nux,nus
 je,je
trazodone,trazodone
presence,présence
16j,16 j
vasorbal,vasorbal
 le,le
muscarius,muscaris
antiépilpetiques,antiépileptiques
uvedose,overdose
levres,lèvres
5kilos,5kilos
 diarethyl, diarethyl
n°5,n°5
àu,au
kan,jan
gynéfam,gynéfam
7jrs,7 jrs
7°jour,7°jour
doné,donné
protegé,protégé
entammé,entamé
karine,Karine
rispéridoen,rispéridoen
minese,mines
symptomes,symptômes
ingatia,ingatia
véterinaire,vétérinaire
neuroléptique,neuroleptique
ches,chez
inserer,insérer
émétophobe,émétophobe
mineraux,minéraux
immurel,immurel
exactemment,exactement
meddispar,meddispar
protegeait,protégeait
6eme,6 eme
ls,os
sinifi,sinité
irritabilite,irritabilité
quieta,quiet
europhytose,europhytose
lutenil,lutenil
debut,début
foutiste,foutiste
drosera,drossera
vaccinatoin,vaccination
aurrais,aurais
goute,goutte
desintoxiquer,désintoxiquer
aroma,arma
presentes,pressentes
segement,segment
leprozol,leprozol
21h,21 h
come,comme
ext,est
hémihydraté,hémihydraté
honnetement,honnêtement
malgrè,malgré
oesophage,œsophage
combient,combien
francaise,française
homépathiques,homéopathiques
france,franque
2g,2 g
kom,nom
èa,a
2plaquettes,2plaquettes
desagrements,desagrements
théophyline,théophylline
génantes,gênantes
j3,j3
ur,ru
dextran70,dextran70
paupieres,paupières
lutran,lutrin
viellissent,vieillissent
ibiprofene,ibuprofène
apercois,aperçois
aripiprazol,aripiprazol
4eme,4 eme
faot,fait
30min,30 min
palafer,pala fer
diantalvic,diantalvic
aussitot,aussitôt
sterdex,sterdex
ymbicort,ymbicort
oestrogene,oestrogene
prescrition,prescription
5h30,5h30
ilmieux,milieux
aventis,avents
alccol,alcool
﻿question,question
stodal,stodal
40mg,40 mg
21è,21è
renseingement,renseignement
inhallé,inhalé
quatres,quartes
inquiter,inciter
urtica,urtica
dasn,dans
6jours,6 jours
éme,aime
ibuprofen,ibuprofène
manosonique,monosodique
decembre,décembre
bpc,bec
acoutumance,accoutumance
400km,400km
agaricus,agarics
24j,24 j
exeplion,exeplion
trynordiol,trynordiol
traitemen,traitement
intéractions,interactions
fraxiparine,fraxiparine
ss,SS
cuive,cuve
attarax,attarax
coluhextril,coluhextril
panthoprazole,panthoprazole
jutilise,j’utilise
suppo,suppl
benzamide,benzamide
colchicum,colchicum
toruve,trouve
tdah,dahu
calciparine,calciparine
j21,j21
hémifumarate,hémifumarate
2daire,2daire
lisopaine,lisopaine
inflamatoire,inflammatoire
sévere,sévère
1700€,1700€
deroat,dermato
seconadaires,secondaires
acvant,cavant
argel7,argel7
pillulle,pillulle
engerix,engerix
ancipation,mancipation
novamoxin,novamoxin
reels,réels
hypericum,hypericum
jvoudrais,voudrais
lalybelle,labelle
precision,précision
ddéveloppé,développé
medicamment,medicamment
11ième,11ième
dalfalgan,dalfalgan
desolee,désolée
stillnox,stillnox
jentendais,j’entendais
b9,b9
decide,décide
florygynal,florygynal
dtp,ftp
nt380,nt380
charcot,chariot
cortrancyl,cortrancyl
steroids,steroids
cysteine,cystéine
pevary,pevary
hypno,Hypnos
biensur,bien sur
prob,pro
spoting,spoting
tinctoria,tinctorial
telephoner,téléphoner
2fois,2fois
résulat,résulta
prépulsid,répulsif
pallu,palle
paroxetin,paroxyton
saltrate,strate
écoeurements,écœurements
 legere, legere
reserve,resserve
 narine,narine
chibo,chibouk
repri,repris
dhumeur,d’humeur
alos,alose
2j,2 j
insemsible,insensible
équanil,équanime
fé,dé
molecule,molécule
comprimers,comprimer
sultopril,sultopril
rcp,rap
rosavastatine,rosavastatine
andorcur,andorcur
idr,ide
dependances,dépendances
2ml,2ml
dui,fui
typhum,typhus
préso,prés
epaule,épaule
30seconde,30seconde
depusi,depuis
pullile,pullule
voualais,goualais
element,élément
frequent,fréquent
ftigue,figue
melanger,mélanger
lyme,lime
sollian,sollian
jouire,jouir
triptans,triplans
agée,âgée
régle,réglé
autoriss,autorise
 enfant,enfant
genetique,génétique
qe,se
nest,n’est
auron,aurone
théralène,théralite
aujourdhui,aujourd’hui
8h15,8h15
med,mes
fai,fai
hexa,vexa
72h,72 h
efficasse,efficace
mitosyl,mitose
orgametril,orgametril
jouirs,jouir
completemen,complètement
dextropropoxyphene,dextropropoxyphene
règlementation,réglementation
peter,péter
gyne,gène
methionine,méthionine
associaton,association
ignata,ignata
12e,12e
2plaqettes,2plaqettes
synéedil,synéedil
acti,cati
syntocinon,syntocinon
cpam,clam
cyprotèrone,cyprotérone
seconadire,secondaire
diarrée,diarrhée
protègeront,protégeront
cyste,ciste
ca,CA
deuxieme,deuxième
e150,e150
lysopaine,lysopaine
lenfoncer,l’enfoncer
endotélon,endotélon
7ans,7 ans
decramp,decramp
dejas,de jas
pourais,pourrais
pulsatilla,pulsa tilla
twinrix,twinrix
 ,e
commancer,commander
anne,Anne
vegetal,végétal
cauchemard,cauchemars
fair,vair
20j,20 j
ordonnànce,ordonnance
apelle,appelle
n°1,n°1
kon,ion
rituxan,rituxan
netrouve,retrouve
bizzare,bizarre
defensia,defensia
calcarea,calcaire
desyrel,desyrel
adulter,adulte
homéopatie,homéopathie
isoror,isoror
attenuer,atténuer
strésam,strésam
scs,secs
norvelo,norvelo
18h,18 h
recontamination,contamination
850mg,850 mg
lyophylisats,lyophilisats
drole,drôle
9mois,9mois
kardefic,kardefic
biz,bis
landemain,lendemain
medicament…,médicament
regles,réglés
400gr,400gr
14jours,14 jours
5mois,5mois
1g,1 g
immediatement,immédiatement
méningitec,méningite
rapelle,rappelle
folliculinum,folliculine
aa,a
daphalgan,daphalgan
tronordiol,tronordiol
gènent,gainent
syndrôme,syndrome
evapar,evapar
triafermi,triafermi
cconnaissez,connaissez
navai,bavai
5cm,5 cm
siont,sont
probléme,problème
gelsémium,gelsémium
 mg, mg
triatement,traitement
avt,avr
ginéco,gynéco
isoxan,isoxan
perforatum,perforatum
mm3,mm3
medicament,médicament
spiolto,spiolto
ejaculations,éjaculations
oedemes,oedemes
taritement,traitement
marons,marrons
mitélase,mitélase
antidérpesseur,antidépresseur
muriacum,muriacum
amp,camp
lyne,Line
diarrhees,diarrhées
jrs,jars
margot,Margot
propericiazine,propericiazine
vômissements,vomissements
xxème,lexème
magnesia,magnésie
zeasorb,zeasorb
naxproxen,naxproxen
6h15,6h15
18g,18 g
cyclean,cyclane
diazepan,diazepan
turbuhaler,turbuhaler
loo,loi
lamour,l’amour
chibroproscar,chibroproscar
sempervirens,sempervirents
quele,quelle
rougole,rougeole
aïh,aï
decider,décider
dépacok,dépacok
téte,tété
achilée,achillée
fréquance,fréquence
aclool,alcool
leffet,l’effet
6j,6 j
10kg,10 kg
desagréables,désagréables
vogalib,vogalib
rensegner,renseigner
solager,solage
11h,11 h
palu,pal
etude,étude
medecin,médecin
dispercible,dispercible
sange,ganse
vaccinotoxium,vaccinotoxium
vasarel,vasa rel
65mg,65 mg
imression,impression
piqure,piqûre
cebesine,cebesine
dolipranes,dolipranes
seches,séchés
allo,allô
ecremé,écrémé
ghb,ghb
phamatex,phamatex
pk,pi
boost,booste
controler,contrôler
qqn,q
brulures,brûlures
jarsin,jardin
stinox,stinox
2cac,2cac
enormes,énormes
24éme,24 éme
disparait,disparaît
rhinospray,rhinospray
repulsif,répulsif
200g,200 g
dt,et
kétoderm,kétoderm
homeopathiques,homéopathiques
maniere,maniéré
éfficacité,efficacité
tabbagisme,tabagisme
lycopodium,lycopodium
sérotoningique,sérotoninergique
eviter,éviter
réesayer,réessayer
endometriose,endométriose
météospasmyl,météospasmyl
acuponcture,acupuncture
leucoptera,leucoptera
revamil,revamil
triptan,triplan
péliculé,pédiculé
jpren,jpren
japanaise,japonaise
beance,béance
sertaline,sertraline
parck,parc
pblmes,palmes
vicks,vices
12ans,12 ans
strees,sertes
connaiser,connaiser
qen,sen
danke,danse
sterile,stérile
privigene,privigene
nitr,nitre
guerri,aguerri
reglée,réglée
trs,tes
testo,resto
sister94,sister94
12kgs,12kgs
gyneco,gynéco
dec,déc
sulpidal,sulpidal
€,e
surdosade,surdosage
climara,clim ara
occulaires,oculaires
ciprofloxacin,ciprofloxacin
rdv,rdv
minkiété,minkiété
per,mer
anxyolitique,anxiolytique
joré,joué
30mg,30 mg
reveille,réveille
falait,fallait
prevention,prévention
incontrolable,incontrôlable
perf,perd
quasimant,quasiment
ocp,oc
lexo,Lex
aurum,arum
5éme,5 éme
broncoclar,broncoclar
spraypax,spraypax
cuilleres,cuillères
deces,décès
cycléane,cyclane
séroquel,séroquel
antelane,pantelante
arpagophyton,arpagophyton
leffexor,leffexor
20mg,20 mg
7microgrammes,7microgrammes
téralithe,théralite
douleureuses,douloureuses
pret,prêt
déanxit,dénantit
brulûres,brûlures
amelioration,amélioration
hepatite,hépatite
fo,do
abilyfy,abilyfy
hazardeuses,hasardeuses
nivo,nivo
hemorooides,hemorooides
ausi,aussi
present,pressent
eske,esse
glycerine,glycérine
5jours,5 jours
enchaine,enchaîne
eles,elles
microvial,microvial
17mois,17mois
felixita,felixita
préscrire,prescrire
jsais,usais
jaimeré,jaimeré
normalemen,normalement
15cl,15cl
8gr3,8gr3
belladonna,belladone
inj,in
°°,
cocceluche,coqueluche
presentation,présentation
machoire,mâchoire
racemosa,racemosa
helicobactère,helicobactère
dragees,dragées
colliques,coliques
décapeptyl,décapeptyl
negative,négative
plilule,pilule
lyoc,Lyon
cholecalciferol,cholécalciférol
complemtement,complètement
medics,medium
ateinte,atteinte
gemmothérapie,gemmothérapie
j7,j7
magnevie,magne vie
omeprazol,omeprazol
11mm,11mm
resoud,recoud
vaporub,vaporub
muriaticum,muriatique
genertº,genette
longtps,longtemps
ténoretic,ténoretic
yasmine,Yasmine
lautre,l’autre
reveillant,réveillant
soluprede,soluprede
ialuset,ialuset
7ième,7ième
recepteurs,récepteurs
reservés,réserves
phyto,phytol
connàit,connaît
bronchiollites,bronchiolites
oestroprogestative,œstroprogestative
mére,maire
execive,execive
12h35,12h35
biphosphonate,biphosphonate
homeo,home
methylene,méthylène
damiana,damna
présérvatif,préservatif
ecarté,essarté
3ieme,3ieme
1m63,1m63
preventif,préventif
reellement,réellement
jme,je
interferent,interférent
esk,es
arpagophitum,arpagophitum
 12, 12
1cp,1cp
7eme,7 eme
depersonalisation,dépersonnalisation
auco,auto
dispersible,dispersive
hyperforine,hyperfine
précotions,précautions
n°2,n°2
1ere,1ere
esc,sec
proteges,protégés
triminulet,triminulet
50g,50 g
allerqique,allergique
tétanost,tétanos
fiévre,fièvre
dre,Dre
zirtec,zirtec
actuellemnt,actuellement
darret,dartre
2010 à 18,2010 à 18
oro,pro
effe,effet
alzheimer,Alzheimer
calconel,calconel
symbicort,symbicort
traitementla,traitement la
depui,depuis
birodrogyl,birodrogyl
lgt,let
enplus,en plus
isotretinoide,isotretinoide
15ch,15ch
co,quo
acomplia,acomplia
dadaptation,d’adaptation
nozdaz,nozdaz
tristesse…,tristesse
delai,délai
ect,ex
progesteronum,progesteronum
resultat,résultat
homéoapthie,homéopathie
influenzinum,influenzinum
premiére,première
medorrhinum,medorrhinum
pa,la
eclenspy,eclenspy
vulgaris,vulgarise
ludoz,ludoz
impressionantes,impressionnantes
15mg,15 mg
décolé,décollé
cortizone,cortisone
h1n1,h1n1
3j,3 j
zincum,zinc
hypothyroidie,hypothyroïdie
holgyome,holonome
stacker,sticker
renseignee,renseignée
phaéva,phaéva
poid,poud
jennifer,Jennifer
cp,CP
atrax,atrax
23h,23 h
cà,ça
efézial,efézial
complèment,complément
réaparraisse,réapparaisse
xanac,xanac
kkun,skuns
heroine,héroïne
check,check
dépakote,dépote
génralisée,généralisée
sub,bus
3fois,3fois
debuté,débute
baptisia,baptisai
±,e
aloe,alpe
chouya,chouia
zyma,zymase
ecanozoles,ecanozoles
révéle,révélé
derniére,dernière
stederil,stederil
neribase,neribase
voligab,voligab
baldrian,baldrian
lp50,lp50
qestion,question
tujeo,tujeo
aspirne,aspire
milepertuis,millepertuis
phytolacca,phytolacca
prendes,prends
celexa,celexa
amiodorane,amiodorane
5ieme,5ieme
boostrixterra,boostrixterra
n°,n
1enfant,1enfant
varnolline,vanilline
protect,protect
entriane,entrante
bsr,ber
coeur,cœur
preservatifs,préservatifs
calcanéenne,cananéenne
hta,hta
ald,lad
kine,quine
rdc,roc
2jrs,2 jrs
errectiles,érectiles
20gouttes,20gouttes
differentes,différentes
lmélange,mélange
lumieres,lumières
vaps,caps
lo,li
convultions,convulsions
600mg,600 mg
cycléane20,cycléane20
minoxydil,minoxydil
tétrazepam,tétrazepam
biomag,biomag
lovénox,lovénox
alrs,ales
prevnar,prevnar
rembourssement,remboursement
micycline,mi cycline
püis,puis
recommencait,recommençait
preciser,préciser
asmr,asmr
75mg,75 mg
seméne,semaine
21pilules,21pilules
agresivitée,agressivité
piqures,piqûres
antirougeoleuse,anti rougeoleuse
imao,imago
pui,puy
18ième,18ième
150mg,150 mg
steriler,sterlet
hémoragique,hémorragique
pyostatatine,pyostatatine
reduit,réduit
hémato,hématome
comrpimé,comprimé
desagrement,desagrement
chondroflex,chondroflex
25éme,25 éme
pe,le
espere,espéré
5ml,5ml
algodistrophie,algodystrophie
zoély,zoé
pde,ode
luthenyl,luthenyl
rovamycine,rovamycine
contracetive,contraceptive
carbonica,carbonisa
noeuds,nœuds
ferograd,Petrograd
avan,van
lacide,l’acide
energies,énergies
29e,29e
pilulue,pilule
enantone,enantone
tardiferon,tardiferon
mésdicaments,médicaments
1kg,1 kg
bustar,bustar
dégat,dégât
qql,quel
efexor,efexor
nouvo,nouvo
6mg,6 mg
métabolisaation,métabolisation
baryta,baryté
appetit,appétit
precise,précise
reapparue,réapparue
1heure,1 heure
aparament,apatament
dtpe,dupe
erphilus,erphilus
problemes,problèmes
recidiver,récidiver
angoisée,angoissée
5fu,5fu
reponds,réponds
bismut,bismuth
regulierement,régulièrement
toujour,toujours
acidum,acidum
àn,an
skenan,skenan
ricard,tricard
 et,et
gastrologue,astrologue
préviscan,prévision
antigrippine,antigrippale
apartient,appartient
lozazepam,lozazepam
3granules,3granules
schyzo,schyzo
raport,rapport
ultradouloureuses,ultra douloureuses
phosphodiestérase,phosphodiestérase
cristers,cristers
commes,comme
mometasone,mometasone
gene,gène
obssesions,obsessions
generalisee,generalisee
 comme,comme
corticoide,corticoïde
rescente,descente
prothuiaden,prothuiaden
j11,j11
nad,dan
ii,i
puisje,puise
n°354,n°354
eclaran,clarain
béta,bêta
mega,méga
di,id
remergon,remergon
etait,était
thuyanol,thuyanol
pr,Pr
sandostatine,sandostatine
reflechir,réfléchir
problême,problème
synusite,sinusite
200mg,200 mg
singular,singular
tricelest,tricelest
hépathite,hépatite
3premier,3premier
 ce,ce
875mg,875 mg
actaea,acta
symtômes,symptômes
interompe,interrompe
pasdu,pas du
cardio,cardia
mabthéra,mabthéra
esoprex,esoprex
arreté,arrête
gunéco,gynéco
gonglé,gonflé
5mgr,5mgr
traitment,traitent
mercasole,mercasole
rent,dent
400ui,400ui
pri,pro
dbt,dit
uterus,utérus
thalictroides,thalictroides
 vous,vous
amphosca,amphosca
brulant,brûlant
profenide,profonde
10jr,10jr
pilosite,pilosité
enchainer,enchaîner
linsaxia,linsaxia
derriere,derrière
augmantation,augmentation
sillice,silice
ultram,ultra
betaméthasone,dexaméthasone
pbl,pal
thymuline,thymine
enervée,énervée
cinéole,cinéole
rrien,rien
virginiana,virginiana
hydroxyquine,hydroxyquine
poralamine,prolamine
lp100,lp100
mécardisplus,mécardisplus
oubliee,oubliée
entérale,entéralgie
commençé,commençai
4sg,4sg
cr,ce
25g,25 g
pourai,pourrai
epedrine,epedrine
folliculum,follicule
